rule,support
"214716930, 214832655",3
214716932,21
"214716932, 214716935",9
"214716932, 214716982",2
"214716932, 214716982, 214716984",2
"214716932, 214716984",4
"214716932, 214716984, 214717003",2
"214716932, 214717003",2
"214716932, 214821315",2
214716935,17
"214716935, 214716984",2
214716937,12
"214716937, 214716939",3
"214716937, 214716939, 214717003",2
"214716937, 214716939, 214717007",2
"214716937, 214716939, 214717007, 214838368",2
"214716937, 214716939, 214838368",2
"214716937, 214716971",3
"214716937, 214716971, 214716973",2
"214716937, 214716971, 214717003",2
"214716937, 214716971, 214717003, 214717005",2
"214716937, 214716971, 214717005",2
"214716937, 214716973",3
"214716937, 214716973, 214717003",2
"214716937, 214716977",3
"214716937, 214716977, 214717003",2
"214716937, 214717003",6
"214716937, 214717003, 214717005",2
"214716937, 214717005",2
"214716937, 214717007",2
"214716937, 214717007, 214838368",2
"214716937, 214838368",2
214716939,10
"214716939, 214716941",2
"214716939, 214716941, 214716971",2
"214716939, 214716945",2
"214716939, 214716956",2
"214716939, 214716962",2
"214716939, 214716962, 214838368",2
"214716939, 214716971",4
"214716939, 214716971, 214717003",2
"214716939, 214716971, 214717003, 214717005",2
"214716939, 214716971, 214717003, 214717005, 214717007",2
"214716939, 214716971, 214717003, 214717007",2
"214716939, 214716971, 214717005",2
"214716939, 214716971, 214717005, 214717007",2
"214716939, 214716971, 214717007",2
"214716939, 214716973",3
"214716939, 214716977",2
"214716939, 214717003",3
"214716939, 214717003, 214717005",2
"214716939, 214717003, 214717005, 214717007",2
"214716939, 214717003, 214717007",2
"214716939, 214717003, 214819468",2
"214716939, 214717003, 214819468, 214819719",2
"214716939, 214717003, 214819468, 214819719, 214826833",2
"214716939, 214717003, 214819468, 214826833",2
"214716939, 214717003, 214819719",2
"214716939, 214717003, 214819719, 214826833",2
"214716939, 214717003, 214826833",2
"214716939, 214717005",2
"214716939, 214717005, 214717007",2
"214716939, 214717007",3
"214716939, 214717007, 214838368",2
"214716939, 214819468",3
"214716939, 214819468, 214819719",2
"214716939, 214819468, 214819719, 214826833",2
"214716939, 214819468, 214826833",2
"214716939, 214819719",2
"214716939, 214819719, 214826833",2
"214716939, 214826833",2
"214716939, 214838368",3
"214716939, 214838368, 214838370",2
"214716939, 214838368, 214838370, 214838375",2
"214716939, 214838368, 214838375",2
"214716939, 214838370",2
"214716939, 214838370, 214838375",2
"214716939, 214838375",2
214716941,5
"214716941, 214716971",2
"214716941, 214716982",2
"214716941, 214716982, 214716984",2
"214716941, 214716984",2
"214716941, 214717005",3
"214716941, 214832653",2
214716943,5
"214716943, 214716971",2
"214716943, 214716997",2
"214716943, 214717003",3
"214716943, 214717007",2
214716945,3
214716952,2
"214716952, 214716990",2
"214716952, 214716990, 214717005",2
"214716952, 214716990, 214717005, 214838364",2
"214716952, 214716990, 214838364",2
"214716952, 214717005",2
"214716952, 214717005, 214838364",2
"214716952, 214838364",2
214716956,2
214716962,2
"214716962, 214838368",2
214716965,3
"214716965, 214716982",2
"214716965, 214716982, 214716997",2
"214716965, 214716997",3
214716967,4
"214716967, 214716984",3
"214716967, 214716984, 214832653",2
"214716967, 214716984, 214832657",2
"214716967, 214716986",2
"214716967, 214717005",2
"214716967, 214832653",2
"214716967, 214832657",2
214716969,2
"214716969, 214717007",2
214716971,20
"214716971, 214716973",6
"214716971, 214716973, 214716982",2
"214716971, 214716982",4
"214716971, 214716990",3
"214716971, 214716990, 214717003",2
"214716971, 214716990, 214717003, 214717005",2
"214716971, 214716990, 214717005",2
"214716971, 214717003",4
"214716971, 214717003, 214717005",3
"214716971, 214717003, 214717005, 214717007",2
"214716971, 214717003, 214717007",3
"214716971, 214717005",4
"214716971, 214717005, 214717007",2
"214716971, 214717007",3
"214716971, 214819468",2
"214716971, 214832655",2
"214716971, 214832655, 214838372",2
"214716971, 214838364",2
"214716971, 214838372",2
214716973,18
"214716973, 214716977",3
"214716973, 214716980",3
"214716973, 214716982",2
"214716973, 214717003",2
"214716973, 214819468",3
214716975,6
"214716975, 214716980",3
214716977,7
"214716977, 214716982",2
"214716977, 214716982, 214716984",2
"214716977, 214716984",2
"214716977, 214717003",3
214716980,11
"214716980, 214716986",3
"214716980, 214716986, 214717005",2
"214716980, 214717003",2
"214716980, 214717005",2
"214716980, 214819468",2
"214716980, 214832653",2
214716982,30
"214716982, 214716984",10
"214716982, 214716984, 214716986",3
"214716982, 214716984, 214716986, 214832655",2
"214716982, 214716984, 214832653",4
"214716982, 214716984, 214832653, 214832657",2
"214716982, 214716984, 214832655",2
"214716982, 214716984, 214832657",3
"214716982, 214716986",3
"214716982, 214716986, 214832655",2
"214716982, 214716997",2
"214716982, 214717003",5
"214716982, 214717003, 214819472",2
"214716982, 214717003, 214819472, 214820387",2
"214716982, 214717003, 214819472, 214820387, 214820938",2
"214716982, 214717003, 214819472, 214820938",2
"214716982, 214717003, 214820387",2
"214716982, 214717003, 214820387, 214820938",2
"214716982, 214717003, 214820938",2
"214716982, 214717007",2
"214716982, 214717867",2
"214716982, 214819472",2
"214716982, 214819472, 214820387",2
"214716982, 214819472, 214820387, 214820938",2
"214716982, 214819472, 214820938",2
"214716982, 214820387",2
"214716982, 214820387, 214820938",2
"214716982, 214820938",2
"214716982, 214832653",4
"214716982, 214832653, 214832657",2
"214716982, 214832655",5
"214716982, 214832657",3
214716984,30
"214716984, 214716986",4
"214716984, 214716986, 214832653",2
"214716984, 214716986, 214832655",2
"214716984, 214716988",2
"214716984, 214716988, 214717007",2
"214716984, 214717003",4
"214716984, 214717003, 214717007",2
"214716984, 214717003, 214717007, 214832657",2
"214716984, 214717003, 214832655",2
"214716984, 214717003, 214832657",2
"214716984, 214717007",6
"214716984, 214717007, 214832653",2
"214716984, 214717007, 214832655",2
"214716984, 214717007, 214832655, 214832657",2
"214716984, 214717007, 214832657",4
"214716984, 214748336",2
"214716984, 214819468",2
"214716984, 214826705",2
"214716984, 214826803",2
"214716984, 214826810",2
"214716984, 214832653",9
"214716984, 214832653, 214832655",3
"214716984, 214832653, 214832655, 214832657",3
"214716984, 214832653, 214832657",5
"214716984, 214832655",6
"214716984, 214832655, 214832657",5
"214716984, 214832657",12
214716986,12
"214716986, 214717001",2
"214716986, 214717005",6
"214716986, 214832653",4
"214716986, 214832653, 214832655",2
"214716986, 214832655",4
214716988,3
"214716988, 214716999",2
"214716988, 214716999, 214717007",2
"214716988, 214716999, 214717007, 214832653",2
"214716988, 214716999, 214832653",2
"214716988, 214717003",2
"214716988, 214717003, 214717007",2
"214716988, 214717007",3
"214716988, 214717007, 214832653",2
"214716988, 214832653",2
214716990,5
"214716990, 214717003",2
"214716990, 214717003, 214717005",2
"214716990, 214717005",3
"214716990, 214717005, 214838364",2
"214716990, 214838364",2
214716997,4
214716999,2
"214716999, 214717007",2
"214716999, 214717007, 214832653",2
"214716999, 214832653",2
214717001,2
214717003,47
"214717003, 214717005",7
"214717003, 214717005, 214717007",5
"214717003, 214717007",13
"214717003, 214717007, 214832653",2
"214717003, 214717007, 214832653, 214832655",2
"214717003, 214717007, 214832655",4
"214717003, 214717007, 214832657",2
"214717003, 214819468",3
"214717003, 214819468, 214819719",2
"214717003, 214819468, 214819719, 214826833",2
"214717003, 214819468, 214826833",2
"214717003, 214819472",2
"214717003, 214819472, 214820387",2
"214717003, 214819472, 214820387, 214820938",2
"214717003, 214819472, 214820938",2
"214717003, 214819719",2
"214717003, 214819719, 214826833",2
"214717003, 214820387",2
"214717003, 214820387, 214820938",2
"214717003, 214820938",2
"214717003, 214821309",2
"214717003, 214826833",2
"214717003, 214832653",2
"214717003, 214832653, 214832655",2
"214717003, 214832655",6
"214717003, 214832655, 214838370",2
"214717003, 214832657",2
"214717003, 214838370",2
214717005,20
"214717005, 214717007",6
"214717005, 214832653",2
"214717005, 214832655",2
"214717005, 214838364",2
214717007,28
"214717007, 214832653",3
"214717007, 214832653, 214832655",2
"214717007, 214832655",5
"214717007, 214832655, 214832657",2
"214717007, 214832657",5
"214717007, 214836892",2
"214717007, 214838368",2
214717012,2
214717087,2
214717286,8
"214717286, 214819376",2
"214717286, 214819376, 214826837",2
"214717286, 214819430",3
"214717286, 214819430, 214819760",2
"214717286, 214819430, 214819760, 214820392",2
"214717286, 214819430, 214819760, 214820392, 214826908",2
"214717286, 214819430, 214819760, 214826908",2
"214717286, 214819430, 214820392",2
"214717286, 214819430, 214820392, 214826908",2
"214717286, 214819430, 214826908",2
"214717286, 214819760",2
"214717286, 214819760, 214820392",2
"214717286, 214819760, 214820392, 214826908",2
"214717286, 214819760, 214826908",2
"214717286, 214820392",2
"214717286, 214820392, 214826908",2
"214717286, 214821300",2
"214717286, 214821300, 214826837",2
"214717286, 214821300, 214826837, 214826908",2
"214717286, 214821300, 214826908",2
"214717286, 214821401",2
"214717286, 214821401, 214826908",2
"214717286, 214821401, 214826908, 214826912",2
"214717286, 214821401, 214826912",2
"214717286, 214826837",5
"214717286, 214826837, 214826872",2
"214717286, 214826837, 214826872, 214826908",2
"214717286, 214826837, 214826876",2
"214717286, 214826837, 214826908",3
"214717286, 214826872",2
"214717286, 214826872, 214826908",2
"214717286, 214826876",2
"214717286, 214826908",5
"214717286, 214826908, 214826912",2
"214717286, 214826912",2
214717312,4
"214717312, 214820252",4
"214717312, 214820252, 214836793",2
"214717312, 214836793",2
214717318,2
214717331,5
214717410,2
214717412,3
"214717412, 214718158",2
214717498,2
214717507,2
214717528,2
214717562,7
"214717562, 214743495",2
"214717562, 214748334",2
"214717562, 214748336",2
"214717562, 214820842",2
"214717562, 214820842, 214826810",2
"214717562, 214821300",3
"214717562, 214821300, 214826876",2
"214717562, 214821300, 214826876, 214826998",2
"214717562, 214821300, 214826998",2
"214717562, 214826619",2
"214717562, 214826623",2
"214717562, 214826623, 214826799",2
"214717562, 214826799",2
"214717562, 214826810",2
"214717562, 214826876",2
"214717562, 214826876, 214826998",2
"214717562, 214826998",2
214717612,2
214717751,2
214717757,2
214717824,2
214717847,2
"214717847, 214820938",2
214717850,4
"214717850, 214718385",2
"214717850, 214819760",2
"214717850, 214820392",2
214717860,4
214717867,7
"214717867, 214832657",2
214717877,7
"214717877, 214826612",3
"214717877, 214826612, 214826615",3
"214717877, 214826612, 214826615, 214826617",2
"214717877, 214826612, 214826615, 214826617, 214826621",2
"214717877, 214826612, 214826615, 214826621",2
"214717877, 214826612, 214826617",2
"214717877, 214826612, 214826617, 214826621",2
"214717877, 214826612, 214826621",2
"214717877, 214826615",4
"214717877, 214826615, 214826617",3
"214717877, 214826615, 214826617, 214826619",2
"214717877, 214826615, 214826617, 214826619, 214826621",2
"214717877, 214826615, 214826617, 214826619, 214826621, 214826876",2
"214717877, 214826615, 214826617, 214826619, 214826876",2
"214717877, 214826615, 214826617, 214826621",3
"214717877, 214826615, 214826617, 214826621, 214826876",2
"214717877, 214826615, 214826617, 214826876",2
"214717877, 214826615, 214826619",2
"214717877, 214826615, 214826619, 214826621",2
"214717877, 214826615, 214826619, 214826621, 214826876",2
"214717877, 214826615, 214826619, 214826876",2
"214717877, 214826615, 214826621",3
"214717877, 214826615, 214826621, 214826876",2
"214717877, 214826615, 214826876",2
"214717877, 214826617",4
"214717877, 214826617, 214826619",2
"214717877, 214826617, 214826619, 214826621",2
"214717877, 214826617, 214826619, 214826621, 214826876",2
"214717877, 214826617, 214826619, 214826876",2
"214717877, 214826617, 214826621",3
"214717877, 214826617, 214826621, 214826876",2
"214717877, 214826617, 214826876",2
"214717877, 214826619",2
"214717877, 214826619, 214826621",2
"214717877, 214826619, 214826621, 214826876",2
"214717877, 214826619, 214826876",2
"214717877, 214826621",3
"214717877, 214826621, 214826876",2
"214717877, 214826876",2
214717880,3
"214717880, 214826627",2
214717888,8
"214717888, 214718203",2
"214717888, 214718203, 214821390",2
"214717888, 214718203, 214821390, 214832557",2
"214717888, 214718203, 214832557",2
"214717888, 214821390",2
"214717888, 214821390, 214832557",2
"214717888, 214832557",6
214717890,5
"214717890, 214819376",2
"214717890, 214819376, 214819762",2
"214717890, 214819376, 214819762, 214820396",2
"214717890, 214819376, 214820396",2
"214717890, 214819762",3
"214717890, 214819762, 214820392",2
"214717890, 214819762, 214820396",2
"214717890, 214820392",2
"214717890, 214820396",2
"214717890, 214827032",2
214718117,4
"214718117, 214819376",3
214718158,2
214718160,10
"214718160, 214718169",3
"214718160, 214718169, 214821022",3
"214718160, 214718169, 214821022, 214821024",2
"214718160, 214718169, 214821024",2
"214718160, 214718220",2
"214718160, 214821022",3
"214718160, 214821022, 214821024",2
"214718160, 214821024",3
"214718160, 214829282",4
"214718160, 214832557",4
214718169,8
"214718169, 214821017",3
"214718169, 214821017, 214821022",2
"214718169, 214821017, 214821277",2
"214718169, 214821022",7
"214718169, 214821022, 214821024",2
"214718169, 214821022, 214832557",2
"214718169, 214821022, 214832557, 214832559",2
"214718169, 214821022, 214832559",3
"214718169, 214821022, 214832559, 214833802",2
"214718169, 214821022, 214833802",2
"214718169, 214821024",2
"214718169, 214821277",2
"214718169, 214832557",2
"214718169, 214832557, 214832559",2
"214718169, 214832559",3
"214718169, 214832559, 214833802",2
"214718169, 214833802",2
214718197,2
214718203,11
"214718203, 214821022",2
"214718203, 214821390",9
"214718203, 214821390, 214832557",2
"214718203, 214832557",3
214718220,5
"214718220, 214821022",2
"214718220, 214821022, 214832559",2
"214718220, 214832559",2
214718246,2
"214718246, 214718390",2
"214718246, 214718390, 214826606",2
"214718246, 214826606",2
214718252,2
214718312,2
214718362,2
"214718362, 214840762",2
214718375,2
"214718375, 214829282",2
214718385,3
"214718385, 214743369",2
"214718385, 214743369, 214821300",2
"214718385, 214743369, 214821300, 214840483",2
"214718385, 214743369, 214840483",2
"214718385, 214821300",2
"214718385, 214821300, 214840483",2
"214718385, 214840483",2
214718390,7
"214718390, 214718396",2
"214718390, 214718398",2
"214718390, 214819402",3
"214718390, 214819402, 214826627",2
"214718390, 214826606",2
"214718390, 214826627",3
214718396,7
"214718396, 214718398",3
"214718396, 214718398, 214819406",2
"214718396, 214819406",3
"214718396, 214826627",2
"214718396, 214826627, 214826955",2
"214718396, 214826955",3
214718398,10
"214718398, 214819406",2
"214718398, 214826627",2
"214718398, 214826835",4
214718400,4
214718409,3
214725532,6
"214725532, 214748336",2
"214725532, 214800268",3
"214725532, 214800268, 214819760",2
"214725532, 214800268, 214819760, 214819762",2
"214725532, 214800268, 214819760, 214819762, 214820392",2
"214725532, 214800268, 214819760, 214820392",2
"214725532, 214800268, 214819762",2
"214725532, 214800268, 214819762, 214820392",2
"214725532, 214800268, 214820392",2
"214725532, 214819376",2
"214725532, 214819376, 214819762",2
"214725532, 214819760",2
"214725532, 214819760, 214819762",2
"214725532, 214819760, 214819762, 214820392",2
"214725532, 214819760, 214820392",2
"214725532, 214819762",3
"214725532, 214819762, 214820392",2
"214725532, 214820392",3
214738453,2
214743335,6
"214743335, 214819760",2
"214743335, 214821300",2
214743339,2
214743341,4
214743350,3
214743369,3
"214743369, 214821300",2
"214743369, 214821300, 214840483",2
"214743369, 214840483",2
214743495,2
214743497,2
214743515,3
214744260,2
"214744260, 214826893",2
214744528,7
"214744528, 214744779",2
"214744528, 214783352",2
"214744528, 214783352, 214819577",2
"214744528, 214783352, 214819577, 214821032",2
"214744528, 214783352, 214821032",2
"214744528, 214819577",2
"214744528, 214819577, 214821032",2
"214744528, 214820812",2
"214744528, 214821032",2
"214744528, 214821279",2
"214744528, 214826606",2
214744530,9
214744775,11
"214744775, 214819376",4
"214744775, 214819376, 214819721",2
"214744775, 214819376, 214819721, 214820400",2
"214744775, 214819376, 214819721, 214820400, 214820402",2
"214744775, 214819376, 214819721, 214820402",2
"214744775, 214819376, 214820400",2
"214744775, 214819376, 214820400, 214820402",2
"214744775, 214819376, 214820402",3
"214744775, 214819721",2
"214744775, 214819721, 214820400",2
"214744775, 214819721, 214820400, 214820402",2
"214744775, 214819721, 214820402",2
"214744775, 214820392",3
"214744775, 214820392, 214820396",2
"214744775, 214820392, 214820396, 214820400",2
"214744775, 214820392, 214820400",2
"214744775, 214820396",3
"214744775, 214820396, 214820400",2
"214744775, 214820400",3
"214744775, 214820400, 214820402",2
"214744775, 214820400, 214826837",2
"214744775, 214820402",4
"214744775, 214826837",2
214744779,12
"214744779, 214748287",2
"214744779, 214748319",2
"214744779, 214783352",2
"214744779, 214783352, 214821032",2
"214744779, 214820394",3
"214744779, 214820394, 214820458",2
"214744779, 214820394, 214820458, 214820812",2
"214744779, 214820394, 214820458, 214820812, 214826799",2
"214744779, 214820394, 214820458, 214826799",2
"214744779, 214820394, 214820812",2
"214744779, 214820394, 214820812, 214826799",2
"214744779, 214820394, 214826799",2
"214744779, 214820456",2
"214744779, 214820458",2
"214744779, 214820458, 214820812",2
"214744779, 214820458, 214820812, 214826799",2
"214744779, 214820458, 214826799",2
"214744779, 214820812",2
"214744779, 214820812, 214826799",2
"214744779, 214821032",2
"214744779, 214826799",3
"214744779, 214826799, 214826955",2
"214744779, 214826801",2
"214744779, 214826955",3
214745323,2
"214745323, 214826799",2
214746339,2
214746365,4
214748285,6
214748287,5
"214748287, 214783352",2
"214748287, 214783352, 214821032",2
"214748287, 214783357",2
"214748287, 214821032",2
214748291,10
"214748291, 214748295",5
"214748291, 214748295, 214753505",2
"214748291, 214748295, 214753507",4
"214748291, 214748304",2
"214748291, 214748304, 214753507",2
"214748291, 214753505",2
"214748291, 214753507",7
214748293,13
"214748293, 214748300",5
"214748293, 214748300, 214748338",2
"214748293, 214748300, 214753513",2
"214748293, 214748338",5
"214748293, 214753513",2
214748295,11
"214748295, 214748300",2
"214748295, 214748304",2
"214748295, 214753505",3
"214748295, 214753505, 214753507",2
"214748295, 214753507",5
214748297,2
"214748297, 214748300",2
214748300,16
"214748300, 214748302",2
"214748300, 214748338",3
"214748300, 214748338, 214753513",2
"214748300, 214753507",3
"214748300, 214753513",4
214748302,3
214748304,4
"214748304, 214753507",2
214748312,3
214748319,2
214748321,2
214748334,6
"214748334, 214800262",3
"214748334, 214800262, 214826927",2
"214748334, 214826876",2
"214748334, 214826927",2
214748336,18
"214748336, 214819721",9
"214748336, 214819721, 214820402",2
"214748336, 214819721, 214820938",2
"214748336, 214819721, 214820938, 214826623",2
"214748336, 214819721, 214820938, 214826623, 214826955",2
"214748336, 214819721, 214820938, 214826955",2
"214748336, 214819721, 214826623",2
"214748336, 214819721, 214826623, 214826955",2
"214748336, 214819721, 214826799",2
"214748336, 214819721, 214826953",2
"214748336, 214819721, 214826955",2
"214748336, 214819762",2
"214748336, 214820392",3
"214748336, 214820402",2
"214748336, 214820938",2
"214748336, 214820938, 214826623",2
"214748336, 214820938, 214826623, 214826955",2
"214748336, 214820938, 214826955",2
"214748336, 214821392",2
"214748336, 214826623",2
"214748336, 214826623, 214826955",2
"214748336, 214826799",2
"214748336, 214826953",2
"214748336, 214826955",2
214748338,14
"214748338, 214753513",4
214753505,7
"214753505, 214753507",3
214753507,15
214753513,8
214753515,6
"214753515, 214819376",2
"214753515, 214821300",2
"214753515, 214826619",2
214753691,2
214760891,2
214760897,3
"214760897, 214826925",2
"214760897, 214826925, 214827005",2
"214760897, 214826925, 214827005, 214827007",2
"214760897, 214826925, 214827005, 214827007, 214828987",2
"214760897, 214826925, 214827005, 214827007, 214828987, 214834865",2
"214760897, 214826925, 214827005, 214827007, 214834865",2
"214760897, 214826925, 214827005, 214828987",2
"214760897, 214826925, 214827005, 214828987, 214834865",2
"214760897, 214826925, 214827005, 214834865",2
"214760897, 214826925, 214827007",2
"214760897, 214826925, 214827007, 214828987",2
"214760897, 214826925, 214827007, 214828987, 214834865",2
"214760897, 214826925, 214827007, 214834865",2
"214760897, 214826925, 214828987",2
"214760897, 214826925, 214828987, 214834865",2
"214760897, 214826925, 214834865",2
"214760897, 214827005",2
"214760897, 214827005, 214827007",2
"214760897, 214827005, 214827007, 214828987",2
"214760897, 214827005, 214827007, 214828987, 214834865",2
"214760897, 214827005, 214827007, 214834865",2
"214760897, 214827005, 214828987",2
"214760897, 214827005, 214828987, 214834865",2
"214760897, 214827005, 214834865",2
"214760897, 214827007",2
"214760897, 214827007, 214828987",2
"214760897, 214827007, 214828987, 214834865",2
"214760897, 214827007, 214834865",2
"214760897, 214828987",2
"214760897, 214828987, 214834865",2
"214760897, 214834865",2
214774667,2
214774685,8
214783352,4
"214783352, 214819577",2
"214783352, 214819577, 214821032",2
"214783352, 214821032",4
214783357,2
214791635,2
214791682,3
"214791682, 214819762",2
214791684,2
"214791684, 214821015",2
214800262,4
"214800262, 214826927",2
214800268,6
"214800268, 214800272",2
"214800268, 214819376",2
"214800268, 214819760",2
"214800268, 214819760, 214819762",2
"214800268, 214819760, 214819762, 214820392",2
"214800268, 214819760, 214820392",2
"214800268, 214819762",2
"214800268, 214819762, 214820392",2
"214800268, 214820392",2
"214800268, 214820402",2
"214800268, 214826908",2
214800272,4
"214800272, 214820402",3
214811739,3
214811752,3
214819374,5
"214819374, 214826617",2
214819376,20
"214819376, 214819721",2
"214819376, 214819721, 214820400",2
"214819376, 214819721, 214820400, 214820402",2
"214819376, 214819721, 214820402",2
"214819376, 214819760",3
"214819376, 214819760, 214819762",2
"214819376, 214819760, 214820392",2
"214819376, 214819762",5
"214819376, 214819762, 214820392",2
"214819376, 214819762, 214820392, 214820396",2
"214819376, 214819762, 214820396",3
"214819376, 214820392",3
"214819376, 214820392, 214820396",2
"214819376, 214820396",3
"214819376, 214820400",2
"214819376, 214820400, 214820402",2
"214819376, 214820402",3
"214819376, 214821300",3
"214819376, 214821300, 214826619",2
"214819376, 214826619",2
"214819376, 214826625",2
"214819376, 214826837",4
"214819376, 214826908",2
214819382,7
"214819382, 214819691",2
214819387,2
"214819387, 214819472",2
"214819387, 214819472, 214819740",2
"214819387, 214819740",2
214819395,2
214819402,3
"214819402, 214826627",2
214819406,3
214819410,3
214819430,5
"214819430, 214819760",2
"214819430, 214819760, 214820392",2
"214819430, 214819760, 214820392, 214826908",2
"214819430, 214819760, 214826908",2
"214819430, 214820392",2
"214819430, 214820392, 214826908",2
"214819430, 214826908",2
214819464,2
214819468,8
"214819468, 214819719",2
"214819468, 214819719, 214826833",2
"214819468, 214826833",2
214819472,8
"214819472, 214819740",3
"214819472, 214820387",2
"214819472, 214820387, 214820938",2
"214819472, 214820938",2
214819490,11
"214819490, 214826932",2
214819496,2
214819526,4
214819530,3
214819535,2
"214819535, 214826906",2
214819547,5
"214819547, 214819552",2
"214819547, 214821020",2
"214819547, 214821024",2
"214819547, 214829282",3
214819550,4
"214819550, 214821020",2
214819552,7
"214819552, 214821017",4
"214819552, 214821017, 214821020",3
"214819552, 214821017, 214821020, 214821022",2
"214819552, 214821017, 214821022",3
"214819552, 214821017, 214821022, 214829282",2
"214819552, 214821017, 214821022, 214832559",2
"214819552, 214821017, 214829282",2
"214819552, 214821017, 214832559",2
"214819552, 214821020",4
"214819552, 214821020, 214821022",2
"214819552, 214821022",3
"214819552, 214821022, 214829282",2
"214819552, 214821022, 214832559",2
"214819552, 214821024",2
"214819552, 214829282",3
"214819552, 214832557",3
"214819552, 214832559",2
214819562,5
214819577,2
"214819577, 214821032",2
214819610,2
214819627,2
"214819627, 214826893",2
214819691,2
214819719,6
"214819719, 214819760",2
"214819719, 214819760, 214827032",2
"214819719, 214819762",2
"214819719, 214826833",2
"214819719, 214827032",2
214819721,11
"214819721, 214820400",2
"214819721, 214820400, 214820402",2
"214819721, 214820402",3
"214819721, 214820938",2
"214819721, 214820938, 214826623",2
"214819721, 214820938, 214826623, 214826955",2
"214819721, 214820938, 214826955",2
"214819721, 214826623",2
"214819721, 214826623, 214826955",2
"214819721, 214826799",2
"214819721, 214826837",2
"214819721, 214826837, 214826872",2
"214819721, 214826872",2
"214819721, 214826953",2
"214819721, 214826955",2
214819738,2
214819740,3
214819760,8
"214819760, 214819762",4
"214819760, 214819762, 214820392",2
"214819760, 214820392",3
"214819760, 214820392, 214826908",2
"214819760, 214826908",2
"214819760, 214827032",2
214819762,10
"214819762, 214820392",3
"214819762, 214820392, 214820396",2
"214819762, 214820396",3
"214819762, 214826799",2
214819770,3
214819772,2
214819775,4
214819781,4
214819796,2
214820186,3
214820188,2
214820192,6
"214820192, 214844297",5
214820195,4
214820199,2
214820201,6
214820227,4
"214820227, 214820231",2
"214820227, 214820233",2
214820231,17
"214820231, 214820233",4
"214820231, 214820261",2
"214820231, 214821277",4
"214820231, 214821277, 214821290",2
"214820231, 214821290",3
214820233,22
"214820233, 214820261",15
214820237,5
214820240,3
214820252,8
"214820252, 214836793",2
214820255,4
214820261,24
214820383,14
"214820383, 214821277",2
"214820383, 214821277, 214821290",2
"214820383, 214821285",4
"214820383, 214821285, 214826803",3
"214820383, 214821290",2
"214820383, 214826803",6
214820387,8
"214820387, 214820938",2
214820392,12
"214820392, 214820396",4
"214820392, 214820396, 214820400",2
"214820392, 214820400",2
"214820392, 214826837",2
"214820392, 214826837, 214826908",2
"214820392, 214826908",3
"214820392, 214840483",2
214820394,4
"214820394, 214820458",3
"214820394, 214820458, 214820812",3
"214820394, 214820458, 214820812, 214826799",2
"214820394, 214820458, 214820812, 214826955",2
"214820394, 214820458, 214826799",2
"214820394, 214820458, 214826955",2
"214820394, 214820812",3
"214820394, 214820812, 214826799",2
"214820394, 214820812, 214826955",2
"214820394, 214826799",2
"214820394, 214826955",2
214820396,10
"214820396, 214820400",2
214820400,4
"214820400, 214820402",3
"214820400, 214826837",2
214820402,11
"214820402, 214826619",2
"214820402, 214826837",2
"214820402, 214826837, 214826872",2
"214820402, 214826872",2
"214820402, 214826876",4
214820413,5
214820415,5
"214820415, 214827024",2
214820439,2
214820441,7
"214820441, 214821277",2
"214820441, 214826625",2
"214820441, 214826625, 214826715",2
"214820441, 214826627",2
"214820441, 214826627, 214826955",2
"214820441, 214826702",2
"214820441, 214826715",2
"214820441, 214826955",2
214820447,6
214820456,3
214820458,6
"214820458, 214820812",4
"214820458, 214820812, 214826799",2
"214820458, 214820812, 214826955",2
"214820458, 214826799",2
"214820458, 214826955",3
214820812,6
"214820812, 214826799",2
"214820812, 214826955",2
214820814,3
214820842,5
"214820842, 214826810",2
214820938,7
"214820938, 214826623",2
"214820938, 214826623, 214826955",2
"214820938, 214826955",2
"214820938, 214832559",2
214821011,3
214821013,6
214821015,10
"214821015, 214821022",2
"214821015, 214826615",2
"214821015, 214826615, 214826617",2
"214821015, 214826617",2
"214821015, 214832559",2
214821017,9
"214821017, 214821020",3
"214821017, 214821020, 214821022",2
"214821017, 214821022",4
"214821017, 214821022, 214829282",3
"214821017, 214821022, 214832559",2
"214821017, 214821277",2
"214821017, 214829282",3
"214821017, 214832559",2
214821020,12
"214821020, 214821022",2
"214821020, 214829282",3
"214821020, 214832557",2
"214821020, 214832557, 214832559",2
"214821020, 214832559",2
214821022,13
"214821022, 214821024",3
"214821022, 214821024, 214832557",2
"214821022, 214821024, 214832557, 214832559",2
"214821022, 214821024, 214832559",2
"214821022, 214829282",3
"214821022, 214832557",3
"214821022, 214832557, 214832559",3
"214821022, 214832559",5
"214821022, 214832559, 214833802",2
"214821022, 214833802",2
214821024,9
"214821024, 214832557",4
"214821024, 214832557, 214832559",3
"214821024, 214832559",4
214821026,2
214821028,21
214821030,2
214821032,4
214821037,5
214821272,10
"214821272, 214827020",4
214821275,14
"214821275, 214821290",2
"214821275, 214821290, 214826799",2
"214821275, 214821290, 214826799, 214826900",2
"214821275, 214821290, 214826900",2
"214821275, 214821296",2
"214821275, 214826799",2
"214821275, 214826799, 214826900",2
"214821275, 214826801",2
"214821275, 214826900",2
"214821275, 214826955",2
"214821275, 214829285",7
214821277,82
"214821277, 214821285",20
"214821277, 214821285, 214821290",6
"214821277, 214821285, 214821290, 214821292",2
"214821277, 214821285, 214821292",5
"214821277, 214821285, 214826702",3
